trip_id,start_time,end_time,headway_secs,exact_times
190000,08:00:00,08:12:22,742,1
190001,08:15:00,08:27:22,742,1
190002,08:30:00,08:42:22,742,1
190003,08:45:00,08:57:22,742,1
190004,09:00:00,09:12:22,742,1
190005,09:15:00,09:27:22,742,1
190006,09:30:00,09:42:22,742,1
190007,09:45:00,09:57:22,742,1
190008,10:00:00,10:12:22,742,1
190009,10:15:00,10:27:22,742,1
190010,10:30:00,10:42:22,742,1
190011,10:45:00,10:57:22,742,1
190012,11:00:00,11:12:22,742,1
190013,11:15:00,11:27:22,742,1
190014,11:30:00,11:42:22,742,1
190015,11:45:00,11:57:22,742,1
190016,12:00:00,12:12:22,742,1
190017,12:15:00,12:27:22,742,1
190018,12:30:00,12:42:22,742,1
190019,12:45:00,12:57:22,742,1
190020,13:00:00,13:12:22,742,1
190021,13:15:00,13:27:22,742,1
190022,13:30:00,13:42:22,742,1
190023,13:45:00,13:57:22,742,1
190024,14:00:00,14:12:22,742,1
190025,14:15:00,14:27:22,742,1
190026,14:30:00,14:42:22,742,1
190027,14:45:00,14:57:22,742,1
190028,15:00:00,15:12:22,742,1
190029,15:15:00,15:27:22,742,1
190030,15:30:00,15:42:22,742,1
190031,15:45:00,15:57:22,742,1
190032,16:00:00,16:12:22,742,1
190033,16:15:00,16:27:22,742,1
190034,16:30:00,16:42:22,742,1
190035,16:45:00,16:57:22,742,1
190036,17:00:00,17:12:22,742,1
190037,17:15:00,17:27:22,742,1
190038,17:30:00,17:42:22,742,1
190039,17:45:00,17:57:22,742,1
190040,18:00:00,18:12:22,742,1
190041,18:15:00,18:27:22,742,1
190042,18:30:00,18:42:22,742,1
190043,18:45:00,18:57:22,742,1
190044,19:00:00,19:12:22,742,1
190045,19:15:00,19:27:22,742,1
190046,19:30:00,19:42:22,742,1
190047,19:45:00,19:57:22,742,1
190048,20:00:00,20:12:22,742,1
190049,20:15:00,20:27:22,742,1
190050,20:30:00,20:42:22,742,1
190051,20:45:00,20:57:22,742,1
190052,21:00:00,21:12:22,742,1
190053,21:15:00,21:27:22,742,1
190054,21:30:00,21:42:22,742,1
190055,21:45:00,21:57:22,742,1
190056,08:00:00,08:12:22,742,1
190057,08:15:00,08:27:22,742,1
190058,08:30:00,08:42:22,742,1
190059,08:45:00,08:57:22,742,1
190060,09:00:00,09:12:22,742,1
190061,09:15:00,09:27:22,742,1
190062,09:30:00,09:42:22,742,1
190063,09:45:00,09:57:22,742,1
190064,10:00:00,10:12:22,742,1
190065,10:15:00,10:27:22,742,1
190066,10:30:00,10:42:22,742,1
190067,10:45:00,10:57:22,742,1
190068,11:00:00,11:12:22,742,1
190069,11:15:00,11:27:22,742,1
190070,11:30:00,11:42:22,742,1
190071,11:45:00,11:57:22,742,1
190072,12:00:00,12:12:22,742,1
190073,12:15:00,12:27:22,742,1
190074,12:30:00,12:42:22,742,1
190075,12:45:00,12:57:22,742,1
190076,13:00:00,13:12:22,742,1
190077,13:15:00,13:27:22,742,1
190078,13:30:00,13:42:22,742,1
190079,13:45:00,13:57:22,742,1
190080,14:00:00,14:12:22,742,1
190081,14:15:00,14:27:22,742,1
190082,14:30:00,14:42:22,742,1
190083,14:45:00,14:57:22,742,1
190084,15:00:00,15:12:22,742,1
190085,15:15:00,15:27:22,742,1
190086,15:30:00,15:42:22,742,1
190087,15:45:00,15:57:22,742,1
190088,16:00:00,16:12:22,742,1
190089,16:15:00,16:27:22,742,1
190090,16:30:00,16:42:22,742,1
190091,16:45:00,16:57:22,742,1
190092,17:00:00,17:12:22,742,1
190093,17:15:00,17:27:22,742,1
190094,17:30:00,17:42:22,742,1
190095,17:45:00,17:57:22,742,1
190096,18:00:00,18:12:22,742,1
190097,18:15:00,18:27:22,742,1
190098,18:30:00,18:42:22,742,1
190099,18:45:00,18:57:22,742,1
190100,19:00:00,19:12:22,742,1
190101,19:15:00,19:27:22,742,1
190102,19:30:00,19:42:22,742,1
190103,19:45:00,19:57:22,742,1
190104,20:00:00,20:12:22,742,1
190105,20:15:00,20:27:22,742,1
190106,20:30:00,20:42:22,742,1
