shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
193000,31.967434,35.963486,1,0.1
193000,31.965922,35.962171,2,209.1
193000,31.964344,35.960903,3,421.1
193000,31.962867,35.959558,4,628.1
193000,31.961064,35.957749,5,891.1
193000,31.959933,35.957312,6,1023.1
193000,31.959095,35.955694,7,1202.1
193000,31.957545,35.954425,8,1412.1
193000,31.955962,35.953162,9,1624.1
193000,31.954886,35.950342,10,1916.1
193000,31.954302,35.948613,11,2092.1
193000,31.953936,35.946839,12,2265.1
193000,31.953542,35.945068,13,2438.1
193000,31.955005,35.943785,14,2641.1
193000,31.955537,35.942107,15,2810.1
193000,31.955491,35.940378,16,2974.1
193000,31.955711,35.938611,17,3143.1
193000,31.955194,35.936861,18,3318.1
193000,31.955883,35.935269,19,3487.1
193000,31.956788,35.933651,20,3670.1
193000,31.958164,35.932504,21,3857.1
193000,31.959608,35.93155,22,4041.1
193000,31.959417,35.929717,23,4216.1
193000,31.960064,35.928064,24,4388.1
193000,31.961614,35.926382,25,4622.1
193000,31.962461,35.924718,26,4805.1
193000,31.963643,35.923222,27,4998.1
193000,31.964869,35.921724,28,5194.1
193000,31.96599,35.92017,29,5386.1
193000,31.967002,35.918568,30,5574.1
193000,31.968027,35.916971,31,5763.1
193000,31.969101,35.915395,32,5954.1
193000,31.970174,35.913819,33,6145.1
193000,31.971362,35.912443,34,6330.1
193000,31.972657,35.911117,35,6521.1
193000,31.974478,35.911897,36,6736.1
193000,31.975372,35.913532,37,6920.1
193000,31.975271,35.91531,38,7088.1
193000,31.974515,35.916994,39,7268.1
193000,31.973432,35.918564,40,7459.1
193000,31.972231,35.920078,41,7654.1
193000,31.970955,35.921304,42,7837.1
193000,31.96956,35.919903,43,8041.1
193000,31.96815,35.918513,44,8245.1
203094,31.96815,35.918513,1,0.1
203094,31.96956,35.919903,2,204.1
203094,31.970955,35.921304,3,408.1
203094,31.972231,35.920078,4,591.1
203094,31.973432,35.918564,5,786.1
203094,31.974515,35.916994,6,977.1
203094,31.975271,35.91531,7,1157.1
203094,31.975372,35.913532,8,1325.1
203094,31.974478,35.911897,9,1509.1
203094,31.972657,35.911117,10,1724.1
203094,31.971362,35.912443,11,1915.1
203094,31.970174,35.913819,12,2100.1
203094,31.969101,35.915395,13,2291.1
203094,31.968027,35.916971,14,2482.1
203094,31.967002,35.918568,15,2671.1
203094,31.96599,35.92017,16,2859.1
203094,31.964869,35.921724,17,3051.1
203094,31.963643,35.923222,18,3247.1
203094,31.962461,35.924718,19,3440.1
203094,31.961614,35.926382,20,3623.1
203094,31.960064,35.928064,21,3857.1
203094,31.959417,35.929717,22,4029.1
203094,31.959608,35.93155,23,4204.1
203094,31.958164,35.932504,24,4388.1
203094,31.956788,35.933651,25,4575.1
203094,31.955883,35.935269,26,4758.1
203094,31.955194,35.936861,27,4927.1
203094,31.955711,35.938611,28,5102.1
203094,31.955491,35.940378,29,5271.1
203094,31.955537,35.942107,30,5435.1
203094,31.955005,35.943785,31,5604.1
203094,31.953542,35.945068,32,5807.1
203094,31.953936,35.946839,33,5980.1
203094,31.954302,35.948613,34,6153.1
203094,31.954886,35.950342,35,6329.1
203094,31.955962,35.953162,36,6621.1
203094,31.957545,35.954425,37,6833.1
203094,31.959095,35.955694,38,7043.1
203094,31.959933,35.957312,39,7222.1
203094,31.961064,35.957749,40,7354.1
203094,31.962867,35.959558,41,7617.1
203094,31.964344,35.960903,42,7824.1
203094,31.965922,35.962171,43,8036.1
203094,31.967434,35.963486,44,8245.1
193001,31.994883,35.919414,1,0.1
193001,31.993337,35.918594,2,188.1
193001,31.992794,35.917537,3,305.1
193001,31.992258,35.91579,4,480.1
193001,31.991723,35.914043,5,655.1
193001,31.991028,35.91234,6,833.1
193001,31.99005,35.910724,7,1020.1
193001,31.989096,35.909098,8,1207.1
193001,31.988365,35.908092,9,1332.1
193001,31.987605,35.905367,10,1603.1
193001,31.987233,35.903968,11,1741.1
193001,31.987227,35.902169,12,1911.1
193001,31.986962,35.900386,13,2082.1
193001,31.98612,35.898809,14,2258.1
