stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction,stop_timezone,vehicle_type,platform_code
created_stop_1,Stop 1,31.962783,35.960476,,Platform 11,,,0,,,,,,
created_stop_2,Stop 2,31.961461,35.960252,,شارع الملك عبدالله الأول,,,0,,,,,,
created_stop_3,Stop 3,31.959992,35.9589,,شارع الملك عبدالله الأول,,,0,,,,,,
created_stop_4,Stop 4,31.958691,35.957445,,شارع التاج,,,0,,,,,,
created_stop_5,Stop 5,31.9575,35.955926,,شارع الملك عبدالله الأول,,,0,,,,,,
created_stop_6,Stop 6,31.955856,35.954751,,جمعية العون الطبية,,,0,,,,,,
created_stop_7,Stop 7,31.954396,35.95344,,شارع الملك عبدالله الأول,,,0,,,,,,
created_stop_8,Stop 8,31.95371,35.951739,,شارع الملك عبدالله الأول,,,0,,,,,,
created_stop_9,Stop 9,31.954886,35.950342,,شارع الجيش,,,0,,,,,,
created_stop_10,Stop 10,31.954302,35.948613,,شارع الجيش,,,0,,,,,,
created_stop_11,Stop 11,31.953936,35.946839,,شارع الأردن,,,0,,,,,,
created_stop_12,Stop 12,31.953542,35.945068,,شارع الجيش,,,0,,,,,,
created_stop_13,Stop 13,31.95325,35.943284,,شارع الجيش,,,0,,,,,,
created_stop_14,Stop 14,31.953159,35.941488,,شارع الهاشمي,,,0,,,,,,
created_stop_15,Stop 15,31.953205,35.939689,,شارع الهاشمي,,,0,,,,,,
created_stop_16,Stop 16,31.952495,35.938026,,Amman Pasha Hotel,,,0,,,,,,
created_stop_17,Stop 17,31.951972,35.936287,,شارع الشابسوغ,,,0,,,,,,
created_stop_18,Stop 18,31.951462,35.93456,,,,,0,,,,,,
created_stop_19,Stop 19,31.952014,35.932898,,شارع الملك فيصل,,,0,,,,,,
created_stop_20,Stop 20,31.952212,35.931137,,Jo Post,,,0,,,,,,
created_stop_21,Stop 21,31.952631,35.929424,,مكتب ترجمة معتمده,,,0,,,,,,
created_stop_22,Stop 22,31.95228,35.92802,,,,,0,,,,,,
created_stop_23,Stop 23,31.952311,35.925918,,شارع الأمير محمد,,,0,,,,,,
created_stop_24,Stop 24,31.952918,35.924443,,,,,0,,,,,,
created_stop_25,Stop 25,31.954111,35.922032,,,,,0,,,,,,
created_stop_26,Stop 26,31.9541,35.921508,,,,,0,,,,,,
created_stop_27,Stop 27,31.95379,35.919262,,,,,0,,,,,,
created_stop_28,Stop 28,31.954079,35.917502,,,,,0,,,,,,
created_stop_29,Stop 29,31.954355,35.915617,,Al Misbah Plaza,,,0,,,,,,
created_stop_30,Stop 30,31.954998,35.914018,,Bank of Jordan,,,0,,,,,,
created_stop_31,Stop 31,31.954829,35.911953,,,,,0,,,,,,
created_stop_32,Stop 32,31.954364,35.910575,,شارع الشريف الحسين بن علي,,,0,,,,,,
created_stop_33,Stop 33,31.960977,35.876068,,شارع زهران,,,0,,,,,,
created_stop_34,Stop 34,31.953827,35.907032,,شارع فريد السعد,,,0,,,,,,
created_stop_35,Stop 35,31.954172,35.905256,,شارع زهران,,,0,,,,,,
created_stop_36,Stop 36,31.95452,35.903478,,شارع زهران,,,0,,,,,,
created_stop_37,Stop 37,31.954889,35.901703,,شارع زهران,,,0,,,,,,
created_stop_38,Stop 38,31.955267,35.89993,,,,,0,,,,,,
created_stop_39,Stop 39,31.955635,35.89738,,,,,0,,,,,,
created_stop_40,Stop 40,31.956087,35.896392,,الدوار الرابع,,,0,,,,,,
created_stop_41,Stop 41,31.956439,35.894615,,شارع زهران,,,0,,,,,,
created_stop_42,Stop 42,31.956804,35.89284,,,,,0,,,,,,
created_stop_43,Stop 43,31.957168,35.891064,,,,,0,,,,,,
created_stop_44,Stop 44,31.960613,35.8747,,,,,0,,,,,,
created_stop_45,Stop 45,31.957954,35.887433,,,,,0,,,,,,
created_stop_46,Stop 46,31.976305,35.905306,,,,,0,,,,,,
created_stop_47,Stop 47,31.959182,35.884124,,,,,0,,,,,,
created_stop_48,Stop 48,31.96016,35.882484,,شارع زهران,,,0,,,,,,
created_stop_49,Stop 49,31.975163,35.906717,,Regency Palace Hotel,,,0,,,,,,
created_stop_50,Stop 50,31.961077,35.87902,,شارع زهران,,,0,,,,,,
created_stop_51,Stop 51,31.960858,35.876949,,موقف باص بيولاب,,,0,,,,,,
